asset_id;asset_name;voltage_level;is_dga_applicable;jumlah_pengukuran
CBL-SS33-966C;HV Cable CBL-SS33-966C;3.3kV;0;7
CBL-UR1-1001;HV Cable CBL-UR1-1001;3.3kV;0;6
CBL-UR1-149B;HV Cable CBL-UR1-149B;11kV;0;13
CBL-UR1-186A;HV Cable CBL-UR1-186A;33kV;0;13
CBL-UR1-338C;HV Cable CBL-UR1-338C;3.3kV;0;6
CBL-UR1-344B;HV Cable CBL-UR1-344B;11kV;0;6
CBL-UR1-351B;HV Cable CBL-UR1-351B;11kV;0;13
CBL-UR1-421;HV Cable CBL-UR1-421;6.6kV;0;13
CBL-UR1-451C;HV Cable CBL-UR1-451C;6.6kV;0;13
CBL-UR1-534C;HV Cable CBL-UR1-534C;33kV;0;13
CBL-UR1-540A;HV Cable CBL-UR1-540A;33kV;0;6
CBL-UR1-574;HV Cable CBL-UR1-574;6.6kV;0;13
CBL-UR1-595;HV Cable CBL-UR1-595;3.3kV;0;6
CBL-UR1-616;HV Cable CBL-UR1-616;33kV;0;3
CBL-UR1-685C;HV Cable CBL-UR1-685C;6.6kV;0;7
CBL-UR1-769A;HV Cable CBL-UR1-769A;33kV;0;14
CBL-UR1-812B;HV Cable CBL-UR1-812B;3.3kV;0;7
CBL-UR1-837;HV Cable CBL-UR1-837;33kV;0;3
CBL-UR2-1031;HV Cable CBL-UR2-1031;11kV;0;5
CBL-UR2-130B;HV Cable CBL-UR2-130B;3.3kV;0;26
CBL-UR2-194B;HV Cable CBL-UR2-194B;11kV;0;7
CBL-UR2-242B;HV Cable CBL-UR2-242B;33kV;0;28
CBL-UR2-264C;HV Cable CBL-UR2-264C;33kV;0;2
CBL-UR2-297A;HV Cable CBL-UR2-297A;6.6kV;0;7
CBL-UR2-462;HV Cable CBL-UR2-462;11kV;0;14
CBL-UR2-567;HV Cable CBL-UR2-567;33kV;0;7
CBL-UR2-678B;HV Cable CBL-UR2-678B;6.6kV;0;7
CBL-UR2-802B;HV Cable CBL-UR2-802B;3.3kV;0;25
CBL-UR2-872A;HV Cable CBL-UR2-872A;11kV;0;13
CBL-UR2-946B;HV Cable CBL-UR2-946B;11kV;0;7
CBL-UR2-978B;HV Cable CBL-UR2-978B;33kV;0;7
CBL-UTIL-1044;HV Cable CBL-UTIL-1044;6.6kV;0;7
CBL-UTIL-1058A;HV Cable CBL-UTIL-1058A;11kV;0;28
CBL-UTIL-125C;HV Cable CBL-UTIL-125C;11kV;0;27
CBL-UTIL-189B;HV Cable CBL-UTIL-189B;6.6kV;0;14
CBL-UTIL-206;HV Cable CBL-UTIL-206;6.6kV;0;7
CBL-UTIL-469;HV Cable CBL-UTIL-469;33kV;0;7
CBL-UTIL-479C;HV Cable CBL-UTIL-479C;6.6kV;0;7
CBL-UTIL-525;HV Cable CBL-UTIL-525;11kV;0;7
CBL-UTIL-594;HV Cable CBL-UTIL-594;11kV;0;27
CBL-UTIL-600B;HV Cable CBL-UTIL-600B;3.3kV;0;7
CBL-UTIL-699B;HV Cable CBL-UTIL-699B;3.3kV;0;26
CBL-UTIL-783B;HV Cable CBL-UTIL-783B;3.3kV;0;6
CBL-UTIL-839B;HV Cable CBL-UTIL-839B;3.3kV;0;6
CBL-UTIL-914C;HV Cable CBL-UTIL-914C;33kV;0;13
CBL-UTIL-945C;HV Cable CBL-UTIL-945C;11kV;0;24
GIS-AMM-1027C;GIS GIS-AMM-1027C;6.6kV;0;29
GIS-AMM-1045;GIS GIS-AMM-1045;11kV;0;9
GIS-AMM-110C;GIS GIS-AMM-110C;11kV;0;12
GIS-AMM-1116C;GIS GIS-AMM-1116C;11kV;0;7
GIS-AMM-1166;GIS GIS-AMM-1166;3.3kV;0;14
GIS-AMM-1176B;GIS GIS-AMM-1176B;11kV;0;7
GIS-AMM-118C;GIS GIS-AMM-118C;6.6kV;0;6
GIS-AMM-134C;GIS GIS-AMM-134C;3.3kV;0;7
GIS-AMM-151;GIS GIS-AMM-151;6.6kV;0;7
GIS-AMM-207;GIS GIS-AMM-207;3.3kV;0;12
GIS-AMM-349A;GIS GIS-AMM-349A;3.3kV;0;7
GIS-AMM-358;GIS GIS-AMM-358;11kV;0;26
GIS-AMM-369B;GIS GIS-AMM-369B;3.3kV;0;6
GIS-AMM-371C;GIS GIS-AMM-371C;33kV;0;26
GIS-AMM-382A;GIS GIS-AMM-382A;6.6kV;0;2
GIS-AMM-424B;GIS GIS-AMM-424B;3.3kV;0;14
GIS-AMM-43C;GIS GIS-AMM-43C;6.6kV;0;7
GIS-AMM-454A;GIS GIS-AMM-454A;6.6kV;0;13
GIS-AMM-467A;GIS GIS-AMM-467A;11kV;0;5
GIS-AMM-56A;GIS GIS-AMM-56A;11kV;0;7
GIS-AMM-578B;GIS GIS-AMM-578B;3.3kV;0;7
GIS-AMM-670A;GIS GIS-AMM-670A;6.6kV;0;15
GIS-AMM-728B;GIS GIS-AMM-728B;3.3kV;0;13
GIS-AMM-730;GIS GIS-AMM-730;6.6kV;0;13
GIS-AMM-750A;GIS GIS-AMM-750A;3.3kV;0;14
GIS-AMM-7A;GIS GIS-AMM-7A;3.3kV;0;26
GIS-AMM-852;GIS GIS-AMM-852;6.6kV;0;7
GIS-AMM-937;GIS GIS-AMM-937;11kV;0;8
GIS-AMM-944A;GIS GIS-AMM-944A;3.3kV;0;13
GIS-AMM-972B;GIS GIS-AMM-972B;33kV;0;13
GIS-AMM-992C;GIS GIS-AMM-992C;11kV;0;14
GIS-PLB-1030C;GIS GIS-PLB-1030C;33kV;0;6
GIS-PLB-1082B;GIS GIS-PLB-1082B;11kV;0;26
GIS-PLB-1092A;GIS GIS-PLB-1092A;33kV;0;7
GIS-PLB-1104;GIS GIS-PLB-1104;11kV;0;7
GIS-PLB-1115;GIS GIS-PLB-1115;6.6kV;0;13
GIS-PLB-1182A;GIS GIS-PLB-1182A;3.3kV;0;27
GIS-PLB-1193;GIS GIS-PLB-1193;11kV;0;6
GIS-PLB-1197B;GIS GIS-PLB-1197B;3.3kV;0;14
GIS-PLB-14A;GIS GIS-PLB-14A;11kV;0;27
GIS-PLB-201C;GIS GIS-PLB-201C;33kV;0;13
GIS-PLB-212B;GIS GIS-PLB-212B;3.3kV;0;13
GIS-PLB-257A;GIS GIS-PLB-257A;3.3kV;0;25
GIS-PLB-333B;GIS GIS-PLB-333B;6.6kV;0;14
GIS-PLB-362C;GIS GIS-PLB-362C;6.6kV;0;6
GIS-PLB-372;GIS GIS-PLB-372;33kV;0;13
GIS-PLB-426A;GIS GIS-PLB-426A;6.6kV;0;7
GIS-PLB-427C;GIS GIS-PLB-427C;6.6kV;0;6
GIS-PLB-491;GIS GIS-PLB-491;3.3kV;0;27
GIS-PLB-498;GIS GIS-PLB-498;6.6kV;0;27
GIS-PLB-558A;GIS GIS-PLB-558A;3.3kV;0;26
GIS-PLB-597A;GIS GIS-PLB-597A;6.6kV;0;13
GIS-PLB-651A;GIS GIS-PLB-651A;3.3kV;0;27
GIS-PLB-776B;GIS GIS-PLB-776B;6.6kV;0;13
GIS-PLB-791B;GIS GIS-PLB-791B;33kV;0;7
GIS-PLB-834A;GIS GIS-PLB-834A;11kV;0;13
GIS-PLB-89;GIS GIS-PLB-89;6.6kV;0;25
GIS-PLB-899;GIS GIS-PLB-899;3.3kV;0;25
GIS-PLB-958C;GIS GIS-PLB-958C;6.6kV;0;6
GIS-SS33-1052A;GIS GIS-SS33-1052A;33kV;0;6
GIS-SS33-1117;GIS GIS-SS33-1117;11kV;0;7
GIS-SS33-1168A;GIS GIS-SS33-1168A;6.6kV;0;25
GIS-SS33-1189C;GIS GIS-SS33-1189C;33kV;0;26
GIS-SS33-202A;GIS GIS-SS33-202A;33kV;0;14
GIS-SS33-248;GIS GIS-SS33-248;33kV;0;7
GIS-SS33-302A;GIS GIS-SS33-302A;6.6kV;0;27
GIS-SS33-347C;GIS GIS-SS33-347C;3.3kV;0;7
GIS-SS33-355;GIS GIS-SS33-355;33kV;0;26
GIS-SS33-466C;GIS GIS-SS33-466C;11kV;0;7
GIS-SS33-656C;GIS GIS-SS33-656C;33kV;0;7
GIS-SS33-664A;GIS GIS-SS33-664A;11kV;0;13
GIS-SS33-671;GIS GIS-SS33-671;6.6kV;0;7
GIS-SS33-692A;GIS GIS-SS33-692A;33kV;0;7
GIS-SS33-72;GIS GIS-SS33-72;3.3kV;0;11
GIS-SS33-731A;GIS GIS-SS33-731A;11kV;0;6
GIS-SS33-738A;GIS GIS-SS33-738A;11kV;0;6
GIS-SS33-756B;GIS GIS-SS33-756B;3.3kV;0;8
GIS-SS33-765C;GIS GIS-SS33-765C;6.6kV;0;6
GIS-SS33-772B;GIS GIS-SS33-772B;3.3kV;0;6
GIS-SS33-800C;GIS GIS-SS33-800C;6.6kV;0;13
GIS-SS33-815;GIS GIS-SS33-815;11kV;0;14
GIS-SS33-864C;GIS GIS-SS33-864C;11kV;0;7
GIS-SS33-884C;GIS GIS-SS33-884C;6.6kV;0;7
GIS-SS33-908A;GIS GIS-SS33-908A;33kV;0;7
GIS-SS33-920;GIS GIS-SS33-920;11kV;0;4
GIS-SS33-962A;GIS GIS-SS33-962A;11kV;0;7
GIS-UR1-1120C;GIS GIS-UR1-1120C;11kV;0;6
GIS-UR1-1122B;GIS GIS-UR1-1122B;33kV;0;7
GIS-UR1-272B;GIS GIS-UR1-272B;3.3kV;0;14
GIS-UR1-346B;GIS GIS-UR1-346B;33kV;0;5
GIS-UR1-418B;GIS GIS-UR1-418B;11kV;0;6
GIS-UR1-430B;GIS GIS-UR1-430B;11kV;0;6
GIS-UR1-477A;GIS GIS-UR1-477A;11kV;0;7
GIS-UR1-496B;GIS GIS-UR1-496B;33kV;0;13
GIS-UR1-553;GIS GIS-UR1-553;33kV;0;13
GIS-UR1-563A;GIS GIS-UR1-563A;3.3kV;0;28
GIS-UR1-576A;GIS GIS-UR1-576A;11kV;0;6
GIS-UR1-612A;GIS GIS-UR1-612A;6.6kV;0;6
GIS-UR1-65C;GIS GIS-UR1-65C;33kV;0;13
GIS-UR1-688C;GIS GIS-UR1-688C;3.3kV;0;13
GIS-UR1-708B;GIS GIS-UR1-708B;3.3kV;0;6
GIS-UR1-733A;GIS GIS-UR1-733A;11kV;0;7
GIS-UR1-77;GIS GIS-UR1-77;3.3kV;0;13
GIS-UR1-924A;GIS GIS-UR1-924A;3.3kV;0;14
GIS-UR1-94B;GIS GIS-UR1-94B;3.3kV;0;6
GIS-UR1-973A;GIS GIS-UR1-973A;33kV;0;12
GIS-UR1-993B;GIS GIS-UR1-993B;3.3kV;0;6
GIS-UR2-1018B;GIS GIS-UR2-1018B;6.6kV;0;6
GIS-UR2-1106A;GIS GIS-UR2-1106A;11kV;0;6
GIS-UR2-1108B;GIS GIS-UR2-1108B;3.3kV;0;6
GIS-UR2-1110C;GIS GIS-UR2-1110C;3.3kV;0;7
GIS-UR2-115;GIS GIS-UR2-115;11kV;0;13
GIS-UR2-1172C;GIS GIS-UR2-1172C;3.3kV;0;7
GIS-UR2-1178C;GIS GIS-UR2-1178C;3.3kV;0;6
GIS-UR2-155C;GIS GIS-UR2-155C;3.3kV;0;13
GIS-UR2-191;GIS GIS-UR2-191;3.3kV;0;26
GIS-UR2-222A;GIS GIS-UR2-222A;11kV;0;28
GIS-UR2-224A;GIS GIS-UR2-224A;6.6kV;0;13
GIS-UR2-245;GIS GIS-UR2-245;11kV;0;14
GIS-UR2-313C;GIS GIS-UR2-313C;11kV;0;7
GIS-UR2-414;GIS GIS-UR2-414;11kV;0;7
GIS-UR2-447A;GIS GIS-UR2-447A;11kV;0;13
GIS-UR2-448;GIS GIS-UR2-448;33kV;0;14
GIS-UR2-450A;GIS GIS-UR2-450A;11kV;0;14
GIS-UR2-492C;GIS GIS-UR2-492C;11kV;0;13
GIS-UR2-529A;GIS GIS-UR2-529A;11kV;0;7
GIS-UR2-536C;GIS GIS-UR2-536C;33kV;0;6
GIS-UR2-583A;GIS GIS-UR2-583A;33kV;0;27
GIS-UR2-596A;GIS GIS-UR2-596A;6.6kV;0;6
GIS-UR2-658C;GIS GIS-UR2-658C;33kV;0;13
GIS-UR2-673A;GIS GIS-UR2-673A;33kV;0;6
GIS-UR2-677B;GIS GIS-UR2-677B;11kV;0;13
GIS-UR2-74;GIS GIS-UR2-74;33kV;0;15
GIS-UR2-804A;GIS GIS-UR2-804A;33kV;0;6
GIS-UR2-805;GIS GIS-UR2-805;6.6kV;0;6
GIS-UR2-808B;GIS GIS-UR2-808B;3.3kV;0;13
GIS-UR2-810C;GIS GIS-UR2-810C;3.3kV;0;14
GIS-UR2-826C;GIS GIS-UR2-826C;11kV;0;12
GIS-UR2-917C;GIS GIS-UR2-917C;3.3kV;0;14
GIS-UR2-999B;GIS GIS-UR2-999B;3.3kV;0;13
GIS-UTIL-1000A;GIS GIS-UTIL-1000A;33kV;0;6
GIS-UTIL-1025C;GIS GIS-UTIL-1025C;6.6kV;0;13
GIS-UTIL-1043C;GIS GIS-UTIL-1043C;33kV;0;7
GIS-UTIL-104A;GIS GIS-UTIL-104A;3.3kV;0;7
GIS-UTIL-1085B;GIS GIS-UTIL-1085B;6.6kV;0;7
GIS-UTIL-1088B;GIS GIS-UTIL-1088B;6.6kV;0;3
GIS-UTIL-1091B;GIS GIS-UTIL-1091B;6.6kV;0;7
GIS-UTIL-1103A;GIS GIS-UTIL-1103A;33kV;0;6
GIS-UTIL-1134B;GIS GIS-UTIL-1134B;3.3kV;0;7
GIS-UTIL-11C;GIS GIS-UTIL-11C;33kV;0;6
GIS-UTIL-136;GIS GIS-UTIL-136;3.3kV;0;7
GIS-UTIL-188C;GIS GIS-UTIL-188C;11kV;0;6
GIS-UTIL-209C;GIS GIS-UTIL-209C;6.6kV;0;12
GIS-UTIL-273A;GIS GIS-UTIL-273A;3.3kV;0;4
GIS-UTIL-288;GIS GIS-UTIL-288;33kV;0;6
GIS-UTIL-296A;GIS GIS-UTIL-296A;11kV;0;7
GIS-UTIL-312B;GIS GIS-UTIL-312B;33kV;0;6
GIS-UTIL-324B;GIS GIS-UTIL-324B;6.6kV;0;13
GIS-UTIL-337C;GIS GIS-UTIL-337C;6.6kV;0;7
GIS-UTIL-348A;GIS GIS-UTIL-348A;3.3kV;0;13
GIS-UTIL-353A;GIS GIS-UTIL-353A;11kV;0;14
GIS-UTIL-385C;GIS GIS-UTIL-385C;6.6kV;0;14
GIS-UTIL-415B;GIS GIS-UTIL-415B;6.6kV;0;13
GIS-UTIL-429C;GIS GIS-UTIL-429C;6.6kV;0;6
GIS-UTIL-432C;GIS GIS-UTIL-432C;3.3kV;0;7
GIS-UTIL-458C;GIS GIS-UTIL-458C;11kV;0;14
GIS-UTIL-493C;GIS GIS-UTIL-493C;6.6kV;0;7
GIS-UTIL-510;GIS GIS-UTIL-510;11kV;0;14
GIS-UTIL-513A;GIS GIS-UTIL-513A;6.6kV;0;14
GIS-UTIL-535A;GIS GIS-UTIL-535A;33kV;0;13
GIS-UTIL-545A;GIS GIS-UTIL-545A;11kV;0;7
GIS-UTIL-572;GIS GIS-UTIL-572;11kV;0;13
GIS-UTIL-584;GIS GIS-UTIL-584;11kV;0;6
GIS-UTIL-619;GIS GIS-UTIL-619;6.6kV;0;14
GIS-UTIL-698C;GIS GIS-UTIL-698C;3.3kV;0;6
GIS-UTIL-743;GIS GIS-UTIL-743;3.3kV;0;14
GIS-UTIL-841;GIS GIS-UTIL-841;6.6kV;0;7
GIS-UTIL-85B;GIS GIS-UTIL-85B;6.6kV;0;6
GIS-UTIL-923A;GIS GIS-UTIL-923A;33kV;0;27
GIS-UTIL-939C;GIS GIS-UTIL-939C;6.6kV;0;13
LE-100;Trafo test;33kV;1;1
MNSR-11;Panel Mnsr;33kV;0;1
MTR-AMM-1065B;HV Motor MTR-AMM-1065B;3.3kV;0;12
MTR-AMM-1070B;HV Motor MTR-AMM-1070B;6.6kV;0;6
MTR-AMM-1109;HV Motor MTR-AMM-1109;3.3kV;0;27
MTR-AMM-1118A;HV Motor MTR-AMM-1118A;3.3kV;0;7
MTR-AMM-1156A;HV Motor MTR-AMM-1156A;33kV;0;7
MTR-AMM-1158;HV Motor MTR-AMM-1158;11kV;0;7
MTR-AMM-1164A;HV Motor MTR-AMM-1164A;6.6kV;0;27
MTR-AMM-1170;HV Motor MTR-AMM-1170;11kV;0;6
MTR-AMM-1179A;HV Motor MTR-AMM-1179A;6.6kV;0;13
MTR-AMM-1180B;HV Motor MTR-AMM-1180B;3.3kV;0;6
MTR-AMM-1185B;HV Motor MTR-AMM-1185B;33kV;0;6
MTR-AMM-1190C;HV Motor MTR-AMM-1190C;11kV;0;13
MTR-AMM-119C;HV Motor MTR-AMM-119C;6.6kV;0;14
MTR-AMM-123A;HV Motor MTR-AMM-123A;3.3kV;0;14
MTR-AMM-158C;HV Motor MTR-AMM-158C;3.3kV;0;13
MTR-AMM-231B;HV Motor MTR-AMM-231B;11kV;0;7
MTR-AMM-232;HV Motor MTR-AMM-232;33kV;0;6
MTR-AMM-258B;HV Motor MTR-AMM-258B;3.3kV;0;3
MTR-AMM-284C;HV Motor MTR-AMM-284C;3.3kV;0;6
MTR-AMM-291A;HV Motor MTR-AMM-291A;3.3kV;0;14
MTR-AMM-29C;HV Motor MTR-AMM-29C;33kV;0;13
MTR-AMM-307A;HV Motor MTR-AMM-307A;6.6kV;0;6
MTR-AMM-341A;HV Motor MTR-AMM-341A;33kV;0;13
MTR-AMM-345B;HV Motor MTR-AMM-345B;33kV;0;7
MTR-AMM-365;HV Motor MTR-AMM-365;11kV;0;14
MTR-AMM-368B;HV Motor MTR-AMM-368B;33kV;0;13
MTR-AMM-387B;HV Motor MTR-AMM-387B;33kV;0;13
MTR-AMM-422B;HV Motor MTR-AMM-422B;3.3kV;0;12
MTR-AMM-441A;HV Motor MTR-AMM-441A;6.6kV;0;6
MTR-AMM-446B;HV Motor MTR-AMM-446B;6.6kV;0;13
MTR-AMM-452C;HV Motor MTR-AMM-452C;6.6kV;0;7
MTR-AMM-461A;HV Motor MTR-AMM-461A;11kV;0;2
MTR-AMM-495A;HV Motor MTR-AMM-495A;3.3kV;0;6
MTR-AMM-5;HV Motor MTR-AMM-5;11kV;0;5
MTR-AMM-501C;HV Motor MTR-AMM-501C;6.6kV;0;13
MTR-AMM-546A;HV Motor MTR-AMM-546A;6.6kV;0;6
MTR-AMM-559A;HV Motor MTR-AMM-559A;3.3kV;0;7
MTR-AMM-579B;HV Motor MTR-AMM-579B;6.6kV;0;13
MTR-AMM-588A;HV Motor MTR-AMM-588A;33kV;0;7
MTR-AMM-623B;HV Motor MTR-AMM-623B;33kV;0;6
MTR-AMM-649A;HV Motor MTR-AMM-649A;6.6kV;0;7
MTR-AMM-689;HV Motor MTR-AMM-689;11kV;0;13
MTR-AMM-694A;HV Motor MTR-AMM-694A;6.6kV;0;6
MTR-AMM-716A;HV Motor MTR-AMM-716A;11kV;0;26
MTR-AMM-737A;HV Motor MTR-AMM-737A;3.3kV;0;6
MTR-AMM-752B;HV Motor MTR-AMM-752B;11kV;0;7
MTR-AMM-766B;HV Motor MTR-AMM-766B;11kV;0;6
MTR-AMM-798;HV Motor MTR-AMM-798;3.3kV;0;2
MTR-AMM-801;HV Motor MTR-AMM-801;3.3kV;0;27
MTR-AMM-80A;HV Motor MTR-AMM-80A;33kV;0;13
MTR-AMM-823;HV Motor MTR-AMM-823;11kV;0;6
MTR-AMM-827;HV Motor MTR-AMM-827;6.6kV;0;6
MTR-AMM-842C;HV Motor MTR-AMM-842C;3.3kV;0;4
MTR-AMM-846A;HV Motor MTR-AMM-846A;11kV;0;7
MTR-AMM-862A;HV Motor MTR-AMM-862A;33kV;0;12
MTR-AMM-866A;HV Motor MTR-AMM-866A;33kV;0;6
MTR-AMM-870A;HV Motor MTR-AMM-870A;11kV;0;2
MTR-AMM-903C;HV Motor MTR-AMM-903C;6.6kV;0;13
MTR-AMM-913B;HV Motor MTR-AMM-913B;3.3kV;0;6
MTR-AMM-918B;HV Motor MTR-AMM-918B;6.6kV;0;12
MTR-AMM-926C;HV Motor MTR-AMM-926C;3.3kV;0;7
MTR-AMM-954A;HV Motor MTR-AMM-954A;11kV;0;13
MTR-AMM-979B;HV Motor MTR-AMM-979B;33kV;0;13
MTR-AMM-97B;HV Motor MTR-AMM-97B;6.6kV;0;12
MTR-AMM-986C;HV Motor MTR-AMM-986C;3.3kV;0;7
MTR-AMM-989C;HV Motor MTR-AMM-989C;3.3kV;0;6
MTR-AMM-991B;HV Motor MTR-AMM-991B;11kV;0;3
MTR-PLB-10;HV Motor MTR-PLB-10;6.6kV;0;27
MTR-PLB-1009B;HV Motor MTR-PLB-1009B;3.3kV;0;2
MTR-PLB-1036B;HV Motor MTR-PLB-1036B;3.3kV;0;6
MTR-PLB-1057B;HV Motor MTR-PLB-1057B;3.3kV;0;14
MTR-PLB-1069A;HV Motor MTR-PLB-1069A;6.6kV;0;12
MTR-PLB-1073B;HV Motor MTR-PLB-1073B;11kV;0;7
MTR-PLB-1080B;HV Motor MTR-PLB-1080B;6.6kV;0;27
MTR-PLB-1144B;HV Motor MTR-PLB-1144B;3.3kV;0;7
MTR-PLB-13C;HV Motor MTR-PLB-13C;33kV;0;26
MTR-PLB-141;HV Motor MTR-PLB-141;3.3kV;0;7
MTR-PLB-16A;HV Motor MTR-PLB-16A;33kV;0;7
MTR-PLB-211C;HV Motor MTR-PLB-211C;33kV;0;7
MTR-PLB-216C;HV Motor MTR-PLB-216C;3.3kV;0;6
MTR-PLB-218C;HV Motor MTR-PLB-218C;6.6kV;0;13
MTR-PLB-238A;HV Motor MTR-PLB-238A;3.3kV;0;26
MTR-PLB-263;HV Motor MTR-PLB-263;6.6kV;0;7
MTR-PLB-270;HV Motor MTR-PLB-270;6.6kV;0;14
MTR-PLB-281C;HV Motor MTR-PLB-281C;6.6kV;0;13
MTR-PLB-320C;HV Motor MTR-PLB-320C;11kV;0;27
MTR-PLB-330B;HV Motor MTR-PLB-330B;6.6kV;0;7
MTR-PLB-359;HV Motor MTR-PLB-359;6.6kV;0;6
MTR-PLB-366;HV Motor MTR-PLB-366;33kV;0;3
MTR-PLB-375A;HV Motor MTR-PLB-375A;11kV;0;7
MTR-PLB-381C;HV Motor MTR-PLB-381C;33kV;0;6
MTR-PLB-3B;HV Motor MTR-PLB-3B;6.6kV;0;6
MTR-PLB-404B;HV Motor MTR-PLB-404B;3.3kV;0;7
MTR-PLB-417A;HV Motor MTR-PLB-417A;33kV;0;7
MTR-PLB-475B;HV Motor MTR-PLB-475B;3.3kV;0;27
MTR-PLB-485C;HV Motor MTR-PLB-485C;6.6kV;0;7
MTR-PLB-499A;HV Motor MTR-PLB-499A;11kV;0;13
MTR-PLB-517A;HV Motor MTR-PLB-517A;33kV;0;14
MTR-PLB-51A;HV Motor MTR-PLB-51A;6.6kV;0;7
MTR-PLB-53A;HV Motor MTR-PLB-53A;33kV;0;14
MTR-PLB-565;HV Motor MTR-PLB-565;11kV;0;7
MTR-PLB-575;HV Motor MTR-PLB-575;3.3kV;0;5
MTR-PLB-577B;HV Motor MTR-PLB-577B;6.6kV;0;6
MTR-PLB-580B;HV Motor MTR-PLB-580B;3.3kV;0;15
MTR-PLB-608B;HV Motor MTR-PLB-608B;11kV;0;7
MTR-PLB-625B;HV Motor MTR-PLB-625B;3.3kV;0;7
MTR-PLB-637;HV Motor MTR-PLB-637;3.3kV;0;7
MTR-PLB-645C;HV Motor MTR-PLB-645C;11kV;0;25
MTR-PLB-646;HV Motor MTR-PLB-646;33kV;0;6
MTR-PLB-668C;HV Motor MTR-PLB-668C;6.6kV;0;13
MTR-PLB-722;HV Motor MTR-PLB-722;6.6kV;0;25
MTR-PLB-726C;HV Motor MTR-PLB-726C;3.3kV;0;6
MTR-PLB-734B;HV Motor MTR-PLB-734B;11kV;0;6
MTR-PLB-735;HV Motor MTR-PLB-735;11kV;0;26
MTR-PLB-75;HV Motor MTR-PLB-75;33kV;0;7
MTR-PLB-76B;HV Motor MTR-PLB-76B;33kV;0;6
MTR-PLB-770;HV Motor MTR-PLB-770;11kV;0;13
MTR-PLB-803C;HV Motor MTR-PLB-803C;11kV;0;5
MTR-PLB-818;HV Motor MTR-PLB-818;6.6kV;0;7
MTR-PLB-831C;HV Motor MTR-PLB-831C;33kV;0;26
MTR-PLB-832C;HV Motor MTR-PLB-832C;33kV;0;5
MTR-PLB-847B;HV Motor MTR-PLB-847B;6.6kV;0;7
